,PGCname,T,category_label,category_label_name
0,PGC0000212,1,2,spiral
1,PGC0000218,0,2,spiral
2,PGC0000243,-2,1,lenticular
3,PGC0000255,9,2,spiral
4,PGC0000281,7,2,spiral
5,PGC0000282,6,2,spiral
6,PGC0000451,8,2,spiral
7,PGC0000548,8,2,spiral
8,PGC0000635,2,2,spiral
9,PGC0000639,1,2,spiral
10,PGC0000647,9,2,spiral
11,PGC0000670,4,2,spiral
12,PGC0000825,8,2,spiral
13,PGC0000963,6,2,spiral
14,PGC0001058,6,2,spiral
15,PGC0001221,6,2,spiral
16,PGC0001224,3,2,spiral
17,PGC0001237,3,2,spiral
18,PGC0001293,7,2,spiral
19,PGC0001306,1,2,spiral
20,PGC0001309,-5,0,elliptical
21,PGC0001478,6,2,spiral
22,PGC0001523,6,2,spiral
23,PGC0001621,5,2,spiral
24,PGC0001713,7,2,spiral
25,PGC0001747,3,2,spiral
26,PGC0001781,10,3,irregular
27,PGC0001805,4,2,spiral
28,PGC0001841,3,2,spiral
29,PGC0001862,6,2,spiral
30,PGC0001909,4,2,spiral
31,PGC0001932,4,2,spiral
32,PGC0001933,6,2,spiral
33,PGC0001936,8,2,spiral
34,PGC0002016,8,2,spiral
35,PGC0002035,2,2,spiral
36,PGC0002076,-3,1,lenticular
37,PGC0002149,-3,1,lenticular
38,PGC0002151,7,2,spiral
39,PGC0002182,5,2,spiral
40,PGC0002269,6,2,spiral
41,PGC0002288,1,2,spiral
42,PGC0002331,1,2,spiral
43,PGC0002332,-3,1,lenticular
44,PGC0002352,1,2,spiral
45,PGC0002357,-3,1,lenticular
46,PGC0002365,8,2,spiral
47,PGC0002388,5,2,spiral
48,PGC0002391,3,2,spiral
49,PGC0002440,6,2,spiral
50,PGC0002482,1,2,spiral
51,PGC0002501,-4,0,elliptical
52,PGC0002522,-6,0,elliptical
53,PGC0002527,0,2,spiral
54,PGC0002597,3,2,spiral
55,PGC0002600,4,2,spiral
56,PGC0002615,6,2,spiral
57,PGC0002768,2,2,spiral
58,PGC0002800,2,2,spiral
59,PGC0002805,9,2,spiral
60,PGC0002889,5,2,spiral
61,PGC0003072,7,2,spiral
62,PGC0003140,3,2,spiral
63,PGC0003232,10,3,irregular
64,PGC0003312,-3,1,lenticular
65,PGC0003314,6,2,spiral
66,PGC0003355,-3,1,lenticular
67,PGC0003377,5,2,spiral
68,PGC0003451,-4,0,elliptical
69,PGC0003496,8,2,spiral
70,PGC0003563,1,2,spiral
71,PGC0003566,7,2,spiral
72,PGC0003569,6,2,spiral
73,PGC0003584,2,2,spiral
74,PGC0003620,3,2,spiral
75,PGC0003781,8,2,spiral
76,PGC0003817,-4,0,elliptical
77,PGC0003830,-4,0,elliptical
78,PGC0003833,-2,1,lenticular
79,PGC0003904,8,2,spiral
80,PGC0003960,4,2,spiral
81,PGC0003976,-5,0,elliptical
82,PGC0004116,2,2,spiral
83,PGC0004124,2,2,spiral
84,PGC0004363,-3,1,lenticular
85,PGC0004367,7,2,spiral
86,PGC0004368,-2,1,lenticular
87,PGC0004376,-3,1,lenticular
88,PGC0004415,0,2,spiral
89,PGC0004416,10,3,irregular
90,PGC0004484,1,2,spiral
91,PGC0004485,8,2,spiral
92,PGC0004500,-4,0,elliptical
93,PGC0004540,6,2,spiral
94,PGC0004608,8,2,spiral
95,PGC0004647,10,3,irregular
96,PGC0004663,8,2,spiral
97,PGC0004734,6,2,spiral
98,PGC0004793,-2,1,lenticular
99,PGC0004805,8,2,spiral
100,PGC0004812,4,2,spiral
101,PGC0004897,8,2,spiral
102,PGC0004899,-2,1,lenticular
103,PGC0004906,2,2,spiral
104,PGC0004979,7,2,spiral
105,PGC0004992,4,2,spiral
106,PGC0005055,-3,1,lenticular
107,PGC0005056,6,2,spiral
108,PGC0005078,1,2,spiral
109,PGC0005220,10,3,irregular
110,PGC0005261,0,2,spiral
111,PGC0005270,4,2,spiral
112,PGC0005271,-2,1,lenticular
113,PGC0005291,8,2,spiral
114,PGC0005298,6,2,spiral
115,PGC0005326,-3,1,lenticular
116,PGC0005330,8,2,spiral
117,PGC0005366,10,3,irregular
118,PGC0005415,8,2,spiral
119,PGC0005436,-3,1,lenticular
120,PGC0005449,-1,1,lenticular
121,PGC0005527,5,2,spiral
122,PGC0005539,1,2,spiral
123,PGC0005540,-2,1,lenticular
124,PGC0005574,-2,1,lenticular
125,PGC0005645,4,2,spiral
126,PGC0005673,6,2,spiral
127,PGC0005688,1,2,spiral
128,PGC0005771,6,2,spiral
129,PGC0005776,8,2,spiral
130,PGC0005792,7,2,spiral
131,PGC0005803,6,2,spiral
132,PGC0005830,3,2,spiral
133,PGC0005838,1,2,spiral
134,PGC0005932,2,2,spiral
135,PGC0005939,2,2,spiral
136,PGC0006004,-4,0,elliptical
137,PGC0006005,3,2,spiral
138,PGC0006090,-3,1,lenticular
139,PGC0006155,-2,1,lenticular
140,PGC0006193,6,2,spiral
141,PGC0006292,9,2,spiral
142,PGC0006309,9,2,spiral
143,PGC0006318,3,2,spiral
144,PGC0006364,8,2,spiral
